Hour,1970-1970,1971-1971,1972-1972,1973-1973,1974-1974,1975-1975,1976-1976,1977-1977,1978-1978,1979-1979,1980-1980,1981-1981,1982-1982,1983-1983,1984-1984,1985-1985,1986-1986,1987-1987,1988-1988,1989-1989,1990-1990
00:00,1,0,0,7,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
01:00,0,0,0,7,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
02:00,0,0,0,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
03:00,0,0,0,8,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
04:00,0,0,1,2,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
05:00,3,0,3,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
06:00,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:00,0,0,1,10,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
08:00,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:00,0,0,0,3,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
10:00,0,0,1,44,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:00,0,0,3,8,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
12:00,0,0,18,10,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
13:00,0,0,3,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
14:00,0,0,5,62,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
15:00,0,0,1,20,0,4,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0
16:00,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
17:00,0,0,32,8,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
18:00,0,0,8,23,195,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
19:00,0,0,5,40,0,173,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
20:00,0,0,4,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21:00,0,0,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22:00,0,0,3,35,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
23:00,0,0,1,8,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
