Hour,1970-1970,1971-1971,1972-1972,1973-1973,1974-1974,1975-1975,1976-1976,1977-1977,1978-1978,1979-1979,1980-1980,1981-1981,1982-1982,1983-1983,1984-1984,1985-1985,1986-1986,1987-1987,1988-1988,1989-1989,1990-1990
00:00,25.0,0,0.0,1.7587939698492463,0.0,0.37453183520599254,0,0,0,4.296875,0,0,0,0,0,0,0,0,0,0,0
01:00,0.0,0,0.0,1.7587939698492463,0.0,0.0,0,0,0,5.6640625,0,0,0,0,0,0,0,0,0,0,0
02:00,0.0,0,0.0,0.7537688442211055,0.0,0.0,0,0,0,5.6640625,0,0,0,0,0,0,0,0,0,0,0
03:00,0.0,0,0.0,2.0100502512562812,0.0,2.247191011235955,0,0,0,2.9296875,0,0,0,0,0,0,0,0,0,0,0
04:00,0.0,0,1.0638297872340425,0.5025125628140703,0.0,7.865168539325842,0,0,0,0.390625,0,0,0,0,0,0,0,0,0,0,0
05:00,75.0,0,3.1914893617021276,0.0,1.5151515151515151,0.37453183520599254,0,0,0,0.5859375,0,0,0,0,0,0,0,0,0,0,0
06:00,0.0,0,0.0,0.5025125628140703,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
07:00,0.0,0,1.0638297872340425,2.512562814070352,0.0,4.868913857677903,0,0,0,0.1953125,0,0,0,0,0,0,0,0,0,0,0
08:00,0.0,0,0.0,0.25125628140703515,0.0,0.7490636704119851,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
09:00,0.0,0,0.0,0.7537688442211055,0.0,0.7490636704119851,0,0,0,0.9765625,0,0,0,0,0,0,0,0,0,0,0
10:00,0.0,0,1.0638297872340425,11.055276381909549,0.0,7.116104868913857,0,0,0,0.1953125,0,0,0,0,0,0,0,0,0,0,0
11:00,0.0,0,3.1914893617021276,2.0100502512562812,0.0,5.2434456928838955,0,0,0,0.78125,0,0,0,0,0,0,0,0,0,0,0
12:00,0.0,0,19.148936170212767,2.512562814070352,0.0,1.1235955056179776,0,0,0,3.90625,0,0,0,0,0,0,0,0,0,0,0
13:00,0.0,0,3.1914893617021276,2.0100502512562812,0.0,0.0,0,0,0,1.3671875,0,0,0,0,0,0,0,0,0,0,0
14:00,0.0,0,5.319148936170213,15.577889447236181,0.0,0.0,0,0,0,4.4921875,0,0,0,0,0,0,0,0,0,0,0
15:00,0.0,0,1.0638297872340425,5.025125628140704,0.0,1.4981273408239701,0,0,0,52.1484375,0,0,0,0,0,0,0,0,0,0,0
16:00,0.0,0,3.1914893617021276,0.7537688442211055,0.0,0.0,0,0,0,2.1484375,0,0,0,0,0,0,0,0,0,0,0
17:00,0.0,0,34.04255319148936,2.0100502512562812,0.0,0.0,0,0,0,6.0546875,0,0,0,0,0,0,0,0,0,0,0
18:00,0.0,0,8.51063829787234,5.778894472361809,98.48484848484848,0.7490636704119851,0,0,0,2.9296875,0,0,0,0,0,0,0,0,0,0,0
19:00,0.0,0,5.319148936170213,10.050251256281408,0.0,64.7940074906367,0,0,0,1.171875,0,0,0,0,0,0,0,0,0,0,0
20:00,0.0,0,4.25531914893617,18.592964824120603,0.0,0.0,0,0,0,0.1953125,0,0,0,0,0,0,0,0,0,0,0
21:00,0.0,0,2.127659574468085,3.015075376884422,0.0,0.0,0,0,0,0.1953125,0,0,0,0,0,0,0,0,0,0,0
22:00,0.0,0,3.1914893617021276,8.793969849246231,0.0,0.7490636704119851,0,0,0,1.7578125,0,0,0,0,0,0,0,0,0,0,0
23:00,0.0,0,1.0638297872340425,2.0100502512562812,0.0,1.4981273408239701,0,0,0,1.953125,0,0,0,0,0,0,0,0,0,0,0
