Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0:00,1152,1241,1681,1914,2582,3497,3932,5132,4395,5300,5424,5092,5379,5274,5162,5520,5636,4473,3876,4079
1:00,1069,1156,950,1139,1236,1372,2079,2525,2323,3190,3414,3157,3437,3356,2969,3533,3560,2584,2309,2437
2:00,610,579,922,788,822,862,1779,1576,1532,2418,2350,2149,2180,2253,2037,2344,2464,1628,1633,1754
3:00,383,409,698,668,566,648,1260,1167,1097,1867,1459,1508,1433,1373,1496,1657,1650,1253,1072,1259
4:00,304,444,391,448,409,474,827,767,742,1446,1101,1223,1097,1212,1043,1226,1249,1024,846,1014
5:00,277,472,356,428,329,469,762,857,795,1670,1134,1285,1211,1179,1065,1226,1287,1146,938,986
6:00,275,354,390,471,462,612,1024,997,951,1788,1407,1550,1521,1456,1735,1914,1920,1382,1348,1500
7:00,516,647,976,838,782,1035,1726,1912,1791,2774,2458,2439,2814,2812,3442,3140,3273,3050,2686,2513
8:00,1080,1334,1732,1721,1808,2139,3579,4415,4809,5937,5303,5300,5771,6359,7455,6955,6685,6436,6187,5537
9:00,1733,2964,2664,2901,2925,3501,5386,6500,7209,8505,9449,9705,10653,11372,11840,12023,10712,10062,10316,9208
10:00,2568,4004,3811,3874,3847,5074,7166,9284,10212,11271,12077,13005,14579,15687,16305,15776,14732,13143,13808,12226
11:00,2704,4288,4392,4503,4455,5534,8094,10277,11795,12670,13467,14413,16337,17646,18472,18135,16958,15562,15163,14738
12:00,2349,3580,4022,4176,4426,5355,8068,9186,10035,11225,11954,12835,14788,16299,16837,15499,16373,14268,14443,13347
13:00,2843,3581,4437,4402,4599,6041,8348,9854,10867,11886,12691,13694,14655,15817,16659,16634,16121,14007,14398,13702
14:00,3201,4049,4421,4905,5027,6276,9091,11853,12406,13829,14894,15530,17020,18362,19157,18937,18156,15464,15688,15432
15:00,3193,4020,4512,4860,5300,6382,9080,11891,12165,13931,15769,15783,17412,19399,19690,19212,19566,16626,15858,16387
16:00,3096,3829,4669,4496,5264,5896,8926,11393,11577,13574,14631,14882,16328,18695,19026,18681,18865,16076,15575,15107
17:00,2547,3315,3966,4306,4198,5140,7898,9626,9011,11404,12230,12521,13519,14859,15807,15358,16434,13643,12642,12136
18:00,1821,2790,3138,3379,3256,4209,6049,7277,6561,8443,9371,9334,10152,10527,11865,11789,12865,10035,9060,8936
19:00,1607,2323,2569,3084,2792,3516,4998,6297,5619,7039,8068,7882,7978,8405,9809,9431,9894,7976,7520,6705
20:00,1455,1944,2614,2774,2731,3582,4767,5841,5634,6513,7877,7680,8118,8218,8590,8283,9053,6858,6370,6358
21:00,2033,1880,2127,2629,3070,3235,4918,6484,5614,6874,7758,8157,8748,8426,8220,8063,8934,6906,6185,6061
22:00,1435,1453,1917,2893,2817,3407,4736,6222,5704,6880,7401,7591,7954,8013,8311,8046,8209,6490,5791,5374
23:00,1226,1131,1785,2253,2969,3050,4075,5407,4779,6735,6483,6253,6858,6592,6794,7089,6701,5120,4495,4730
