Hour,2004-2004,2005-2005,2006-2006,2007-2007,2008-2008,2009-2009,2010-2010,2011-2011,2012-2012,2013-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022,2023-2023
00:00,11187,11043,10598,9878,10977,11963,11718,11194,9565,11904,8976,9165,8860,8258,7691,8000,7890,5846,5030,5244
01:00,8349,8460,7212,7193,7466,7220,7054,6565,6024,5964,6186,6214,5999,5284,4631,5038,4797,3233,2966,3253
02:00,6764,6788,6267,5525,5581,5481,5823,4944,4785,4941,4702,4592,4312,3916,3512,3702,3546,2117,2077,2182
03:00,6151,6420,5857,5386,5097,4863,5044,4272,3851,4109,3711,3900,3444,3007,2866,3083,2651,1730,1527,1705
04:00,6091,5979,5397,5094,4537,4491,4332,3784,3439,3559,3116,3302,3077,2851,2245,2324,2090,1471,1279,1429
05:00,5600,6104,5500,5057,4659,4481,4486,4158,3719,3831,3202,3467,3309,2749,2205,2193,1942,1443,1271,1355
06:00,5760,5914,5686,5382,5423,5142,5070,4735,4212,3906,3352,3659,3869,3021,3128,3089,2738,1799,1765,1998
07:00,6796,6917,6681,6617,6191,6705,6946,6281,5704,5606,4860,4805,5193,4539,5127,4404,4354,3672,3250,3198
08:00,8302,8471,9018,8182,8657,8952,10311,9871,9881,9669,9025,8179,8280,8528,9360,8608,7922,7258,7031,6398
09:00,9642,10699,10925,10378,10738,11842,13060,12604,13309,12734,13350,13214,13630,13753,13974,13699,12164,11274,11561,10452
10:00,10912,12633,12113,11418,12265,13888,15256,15630,16269,15230,15918,16472,17529,17906,18276,17654,16403,14666,15526,13802
11:00,10632,12577,12632,12310,12810,14132,16452,17055,17578,16347,17265,17818,19350,20126,20598,20290,18673,17154,16919,16481
12:00,11117,12330,13105,12840,13380,14576,16471,16356,16744,15609,15996,16560,18088,19109,18962,17598,18217,15870,16154,15013
13:00,13180,14095,14641,13964,14660,16407,18197,18505,18383,16886,17380,17857,18423,19017,19643,19285,18351,15726,16403,15488
14:00,14479,16004,15813,15661,16524,17882,19942,21177,20749,19321,20368,20256,21101,21650,22327,21830,20809,17389,18034,17283
15:00,16185,18097,17611,17168,18070,19426,20736,21419,20737,19909,21333,21185,22033,22855,23158,22460,22400,18628,18183,18245
16:00,16037,17413,17783,16878,18254,18721,20815,20400,20103,19420,20010,20121,20978,22211,22247,21802,21674,18113,17598,17000
17:00,15289,16918,16452,16165,17336,18171,19478,18331,17002,17396,17609,17875,18193,18223,19110,18308,19154,15495,14328,13823
18:00,14922,16429,15650,15408,16053,17594,17742,15683,14275,14473,14935,14759,14832,13871,15076,14983,15455,11770,10555,10447
19:00,15660,16467,15154,14929,15971,17035,16602,14687,13414,13237,13707,13302,12268,11965,12875,12527,12464,9568,8985,8001
20:00,16029,16549,15794,15256,15903,16604,16450,14584,14037,13088,14300,13492,12465,11766,11693,11581,11556,8529,7815,7810
21:00,16479,16417,15475,14998,16453,16046,16485,14846,13474,13062,13662,13667,13037,11719,11139,11013,11392,8305,7516,7343
22:00,14711,14723,13838,14150,14561,14788,14549,13239,12447,12549,12154,12488,11583,10729,10542,10476,10156,7908,7154,6471
23:00,12606,12719,11873,11512,12789,12682,12203,12007,10318,13583,10494,10302,10133,9168,8881,8973,8043,6275,5545,5585
